time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.03958616715e-07,1.39311030794e-07,10.0032352326,0.000147606262562,0.000283475524801,0.0,-2.61654288581e-05,1.26763228251e-05,0.107836240527,0.00697519777142,0.0128073327626,0.0,438.20208362095144,439.26517556420106,439.7349306587921,440.31221163682414
0.12000000000000001,-1.26752824893e-05,6.45853621697e-06,10.0164928977,0.000622782415868,0.00135952150939,0.0,-0.000499428700882,0.000251969266202,0.334046470642,0.00974455020918,0.0266014499881,0.0,474.53680816042305,475.59423641714136,475.4071775384115,475.619166900324
0.18,-7.86611050747e-05,3.89550448454e-05,10.0406687667,0.00214125925327,0.00289223651442,0.0,-0.00186843866144,0.000955931217853,0.471767973477,0.0456743860572,0.0233447591581,0.0,448.7537328389451,448.48945443892524,447.61497175839344,450.5290758766307
0.23999999999999996,-0.000254008534852,0.000149260601131,10.0711881824,0.00518660314624,0.00480932968539,0.0,-0.00414304538823,0.00300621578521,0.54551160825,0.0593554049455,0.0451868364117,0.0,427.6295344709043,429.4861827749837,428.33453453258875,429.4979584842871
0.3,-0.000636330881128,0.000476919229601,10.1114616028,0.00870527419865,0.00729141289943,0.0,-0.00892503166322,0.008355341107,0.796789786216,0.0571840684894,0.032362170363,0.0,482.0987372120379,481.12964243901945,484.20746209821607,484.04620095901737
0.36000000000000004,-0.00136193104371,0.0012114948704,10.1664519854,0.012878072838,0.00926524168126,0.0,-0.015500310587,0.016603949359,1.03603024215,0.0869021631873,0.0339459882446,0.0,480.1521828277244,480.27263757097967,478.13030964113074,480.39183720824855
0.4200000000000001,-0.00251190124007,0.00252336504802,10.2337569215,0.0177302889065,0.0108782750873,0.0,-0.0230429364687,0.027693822042,1.20729164818,0.0647123203693,0.0064717094327,0.0,460.7183105402015,458.541297951999,461.3926470847025,459.6425152779671
0.48000000000000015,-0.00413160303773,0.00458323271998,10.3100880034,0.0220821942071,0.0120167374069,0.0,-0.0310347775085,0.0414073458887,1.33692504358,0.0848005364106,0.0364763130849,0.0,446.1299046508614,448.5728319317264,447.2569928446,448.893820216183
0.5400000000000001,-0.00624373901941,0.00753131176372,10.3927667933,0.0274497023359,0.0142247428588,0.0,-0.039586982933,0.0573801828962,1.41892027215,0.0974376107963,0.0374397589171,0.0,433.677017631929,433.758588413976,431.7856042888567,432.8571458210538
0.6000000000000002,-0.00899127011502,0.0116990191291,10.485641158,0.0333862535262,0.0167049463639,0.0,-0.0522898811093,0.0822718774006,1.67652296825,0.101792055187,0.0481693756211,0.0,485.7771435509797,486.5817127384416,486.4576146864414,486.79102018430336
0.6600000000000003,-0.0125418768763,0.0174620745022,10.5925157934,0.0395742611544,0.0191356133676,0.0,-0.0663820697546,0.110544864272,1.88561020375,0.10568766961,0.0172145572741,0.0,474.7464389309706,472.366194842512,472.5008938205718,472.80964456684444
0.7200000000000003,-0.0170163099419,0.0251306316206,10.7134052982,0.0458153226116,0.0199782719868,0.0,-0.0828759019794,0.145843934672,2.14355441828,0.100452206267,0.00680014683538,0.0,487.86807932940053,487.08979461741814,488.713055131375,488.33104569783063
0.7800000000000004,-0.0224238286421,0.0348984776589,10.8460235904,0.0516106160021,0.0202772128329,0.0,-0.0974078145001,0.180371772788,2.27676419483,0.0874602842301,0.00107324662203,0.0,451.1392256542148,450.6765113154698,453.65977113991545,452.62313548577924
0.8400000000000004,-0.0286398650158,0.046682815182,10.9832552387,0.0566269202402,0.0200727721935,0.0,-0.109788185763,0.212901059903,2.29755308442,0.0745006911414,-0.0143518253033,0.0,416.7741290498004,415.42385707747616,417.5871378631147,416.46130382755877
0.9000000000000005,-0.0356214336381,0.0605931964147,11.1232080933,0.061314994534,0.0191431830254,0.0,-0.122840831353,0.251216451058,2.36736982274,0.0845557514221,-0.0178793943276,0.0,433.63070552851167,433.33437407305547,431.73735607934344,432.5898852368486
0.9600000000000005,-0.0433878807192,0.0769636740922,11.2684149929,0.0659955832479,0.0184575955436,0.0,-0.135948756287,0.294957204552,2.47260062862,0.0598349880714,-0.000918137263473,0.0,444.3342430368208,445.72262483154964,444.92503244073333,442.9012043436517
1.0200000000000005,-0.0518701757155,0.0958337714537,11.4166906648,0.0695083581057,0.0184122362823,0.0,-0.14679042767,0.334352619405,2.4698998164,0.0558367049327,-0.000433618711442,0.0,409.9545242677794,409.9975907208138,409.7126351158715,409.3597110365059
1.0800000000000005,-0.0610808498154,0.117426787918,11.5690522626,0.0726499090988,0.0184224995081,0.0,-0.160225833573,0.385740828269,2.60847907924,0.0442973407297,0.00135388164013,0.0,456.113383513377,456.2561097059599,455.1238597936431,454.2010608024936
1.1400000000000006,-0.0710614318694,0.142021694222,11.7277168963,0.0756014184921,0.0186857907263,0.0,-0.172474933834,0.43434921537,2.68014548015,0.0575206357264,0.00985487932498,0.0,434.8008057140067,435.5123411604383,434.59917194473866,435.70761693508257
1.2000000000000006,-0.0818863223129,0.170008914452,11.8961106499,0.0792912371636,0.0190215704931,0.0,-0.188403449057,0.498952278529,2.93231551368,0.0684508387494,-0.00468240694234,0.0,489.4566543726618,488.37349609981106,490.9191632428475,491.7317966582752
1.2600000000000007,-0.0935605217014,0.201499765239,12.0737963239,0.0830065105485,0.0186367026087,0.0,-0.200702300993,0.551105111521,2.99034551247,0.0438092571757,-0.0101256047288,0.0,433.45835442046194,433.0007760181795,433.10747315911715,431.0327069974149
